book,team,odds
bet365,Leafs,+800
bet365,Avalanche,+900
bet365,Oilers,+900
bet365,Devils,+900
bet365,Hurricanes,+900
bet365,Knights,+1100
bet365,Rangers,+1300
bet365,Bruins,+1600
bet365,Stars,+1700
bet365,Kings,+1700
bet365,Lightning,+1800
bet365,Panthers,+1800
bet365,Penguins,+2800
bet365,Wild,+3000
bet365,Flames,+3000
bet365,Sabres,+3300
bet365,Senators,+3300
bet365,Kraken,+3500
bet365,Jets,+4000
bet365,Islanders,+5000
bet365,Predators,+5000
bet365,Wings,+5000
bet365,Blues,+5000
bet365,Canucks,+5000
bet365,Capitals,+6000
bet365,Jackets,+6000
bet365,Blackhawks,+8000
bet365,Flyers,+12500
bet365,Canadiens,+12500
bet365,Coyotes,+12500
bet365,Sharks,+15000
bet365,Ducks,+20000
