book,team,odds
draftkings,Leafs,+900
draftkings,Avalanche,+1000
draftkings,Oilers,+1000
draftkings,Knights,+1200
draftkings,Rangers,+1300
draftkings,Stars,+1400
draftkings,Panthers,+1600
draftkings,Bruins,+1600
draftkings,Lightning,+2000
draftkings,Kings,+2200
draftkings,Penguins,+2800
draftkings,Wild,+3000
draftkings,Flames,+3000
draftkings,Kraken,+3500
draftkings,Sabres,+3500
draftkings,Senators,+4000
draftkings,Jets,+5000
draftkings,Islanders,+5000
draftkings,Canucks,+6000
draftkings,Wings,+7500
draftkings,Predators,+7500
draftkings,Blues,+8000
draftkings,Capitals,+8000
draftkings,Coyotes,+13000
draftkings,Flyers,+15000
draftkings,Jackets,+15000
draftkings,Blackhawks,+20000
draftkings,Canadiens,+25000
draftkings,Sharks,+25000
draftkings,Ducks,+25000
