book,team,odds
fanduel,Avalanche,+850
fanduel,Hurricanes,+900
fanduel,Leafs,+1000
fanduel,Oilers,+1000
fanduel,Stars,+1100
fanduel,Devils,+1100
fanduel,Knights,+1300
fanduel,Bruins,+1700
fanduel,Rangers,+1700
fanduel,Kings,+1800
fanduel,Lightning,+2100
fanduel,Penguins,+2200
fanduel,Panthers,+2400
fanduel,Wild,+2700
fanduel,Flames,+3000
fanduel,Sabres,+4000
fanduel,Jets,+4000
fanduel,Senators,+4000
fanduel,Islanders,+4500
fanduel,Canucks,+5000
fanduel,Kraken,+5000
fanduel,Blues,+7000
fanduel,Capitals,+7500
fanduel,Wings,+7500
fanduel,Predators,+8500
fanduel,Jackets,+10000
fanduel,Coyotes,+10000
fanduel,Flyers,+15000
fanduel,Blackhawks,+20000
fanduel,Ducks,+20000
fanduel,Sharks,+20000
fanduel,Canadiens,+20000
