book,team,odds
draftkings,Leafs,900
draftkings,Avalanche,1000
draftkings,Oilers,1000
draftkings,Knights,1200
draftkings,Rangers,1300
draftkings,Stars,1400
draftkings,Panthers,1600
draftkings,Bruins,1600
draftkings,Lightning,2000
draftkings,Kings,2200
draftkings,Penguins,2800
draftkings,Wild,3000
draftkings,Flames,3000
draftkings,Kraken,3500
draftkings,Sabres,3500
draftkings,Senators,4000
draftkings,Jets,5000
draftkings,Islanders,5000
draftkings,Canucks,6000
draftkings,Wings,7500
draftkings,Predators,7500
draftkings,Blues,8000
draftkings,Capitals,8000
draftkings,Coyotes,13000
draftkings,Flyers,15000
draftkings,Jackets,15000
draftkings,Blackhawks,20000
draftkings,Canadiens,25000
draftkings,Sharks,25000
draftkings,Ducks,25000
bet365,Leafs,800
bet365,Avalanche,900
bet365,Oilers,900
bet365,Devils,900
bet365,Hurricanes,900
bet365,Knights,1100
bet365,Rangers,1300
bet365,Bruins,1600
bet365,Stars,1700
bet365,Kings,1700
bet365,Lightning,1800
bet365,Panthers,1800
bet365,Penguins,2800
bet365,Wild,3000
bet365,Flames,3000
bet365,Sabres,3300
bet365,Senators,3300
bet365,Kraken,3500
bet365,Jets,4000
bet365,Islanders,5000
bet365,Predators,5000
bet365,Wings,5000
bet365,Blues,5000
bet365,Canucks,5000
bet365,Capitals,6000
bet365,Jackets,6000
bet365,Blackhawks,8000
bet365,Flyers,12500
bet365,Canadiens,12500
bet365,Coyotes,12500
bet365,Sharks,15000
bet365,Ducks,20000
fanduel,Avalanche,850
fanduel,Hurricanes,900
fanduel,Leafs,1000
fanduel,Oilers,1000
fanduel,Stars,1100
fanduel,Devils,1100
fanduel,Knights,1300
fanduel,Bruins,1700
fanduel,Rangers,1700
fanduel,Kings,1800
fanduel,Lightning,2100
fanduel,Penguins,2200
fanduel,Panthers,2400
fanduel,Wild,2700
fanduel,Flames,3000
fanduel,Sabres,4000
fanduel,Jets,4000
fanduel,Senators,4000
fanduel,Islanders,4500
fanduel,Canucks,5000
fanduel,Kraken,5000
fanduel,Blues,7000
fanduel,Capitals,7500
fanduel,Wings,7500
fanduel,Predators,8500
fanduel,Jackets,10000
fanduel,Coyotes,10000
fanduel,Flyers,15000
fanduel,Blackhawks,20000
fanduel,Ducks,20000
fanduel,Sharks,20000
fanduel,Canadiens,20000
