book,team,odds
draftkings,Avalanche,1000
draftkings,Oilers,1000
draftkings,Kings,2200
draftkings,Penguins,2800
draftkings,Wild,3000
draftkings,Flames,3000
draftkings,Senators,4000
draftkings,Jets,5000
draftkings,Islanders,5000
draftkings,Canucks,6000
draftkings,Wings,7500
draftkings,Blues,8000
draftkings,Capitals,8000
draftkings,Coyotes,13000
draftkings,Flyers,15000
draftkings,Jackets,15000
draftkings,Blackhawks,20000
draftkings,Canadiens,25000
draftkings,Sharks,25000
draftkings,Ducks,25000
bet365,Hurricanes,900
bet365,Stars,1700
fanduel,Leafs,1000
fanduel,Devils,1100
fanduel,Knights,1300
fanduel,Bruins,1700
fanduel,Rangers,1700
fanduel,Lightning,2100
fanduel,Panthers,2400
fanduel,Sabres,4000
fanduel,Kraken,5000
fanduel,Predators,8500
